seed,n_pc,avgPrecision,precision,recall,f1_score,auroc,train_time,test_time
0,6,0.0467,0.1818,0.3333,0.2353,0.3123,0.0157,0.0
1,6,0.0328,0.2222,0.6667,0.3333,0.1695,0.0156,0.0
2,6,0.0304,0.3333,0.6667,0.4444,0.112,0.0156,0.0
3,6,0.0286,0.5455,1.0,0.7059,0.0126,0.0,0.0
4,6,0.0526,0.3333,0.6667,0.4444,0.2717,0.0156,0.0
5,6,0.0297,0.2727,0.5,0.3529,0.0742,0.0227,0.0
6,6,0.0293,0.3571,0.8333,0.5,0.0658,0.0157,0.0
7,6,0.0305,0.2857,0.6667,0.4,0.1162,0.0156,0.0
8,6,0.0296,0.3125,0.8333,0.4545,0.0798,0.0156,0.0
9,6,0.0303,0.3333,0.6667,0.4444,0.1092,0.0156,0.0
10,6,0.0286,0.4286,1.0,0.6,0.014,0.0156,0.0
11,6,0.0297,0.2778,0.8333,0.4167,0.0826,0.0,0.0
12,6,0.0361,0.2632,0.8333,0.4,0.1723,0.0,0.0161
13,6,0.1266,0.1333,0.3333,0.1905,0.4244,0.0156,0.0
14,6,0.0296,0.4167,0.8333,0.5556,0.063,0.0,0.0
